molecule_chembl_id,smiles,activity_type,activity_value,activity_units,pchembl_value,target_chembl_id,document_chembl_id,canonical_smiles
CHEMBL111339,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,IC50,480.0,nM,6.32,CHEMBL203,CHEMBL1131066,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
CHEMBL52197,COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,30.0,nM,7.52,CHEMBL203,CHEMBL1130057,COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL7939,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21,IC50,700.0,nM,6.16,CHEMBL203,CHEMBL1127678,O=C1NC(=O)c2cc(Nc3ccc(F)cc3)c(Nc3ccc(F)cc3)cc21
CHEMBL8095,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,IC50,2000.0,nM,5.7,CHEMBL203,CHEMBL1127678,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1
CHEMBL345109,CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,0.44,nM,9.36,CHEMBL203,CHEMBL1134843,CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,IC50,83.0,nM,7.08,CHEMBL203,CHEMBL1135208,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
CHEMBL293986,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3c(Cl)cccc3n2C)c(C(=O)Nc2ccccc2)c2c(Cl)cccc21,IC50,100000.0,nM,4.0,CHEMBL203,CHEMBL1127560,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3c(Cl)cccc3n2C)c(C(=O)Nc2ccccc2)c2c(Cl)cccc21
CHEMBL8223,CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1,IC50,50000.0,nM,4.3,CHEMBL203,CHEMBL1127678,CCN(CC)c1ccc(Nc2cc3c(cc2Nc2ccc(N(CC)CC)cc2)C(=O)NC3=O)cc1
CHEMBL332269,CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,IC50,4400.0,nM,5.36,CHEMBL203,CHEMBL1131066,CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1
CHEMBL300217,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,IC50,7.6,nM,8.12,CHEMBL203,CHEMBL1130057,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1
CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,15.0,nM,7.82,CHEMBL203,CHEMBL1130057,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
