candidate_id,smiles,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds
GEN_A76BA53D,Cc1cc(C)c(C=C(O)c2cc(C(=O)O)cc(O)c2O)[nH]1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.44,-3.585,1,True,289.29,2.797,5,4,3
GEN_8B3AE56E,O=C(O)CCn1ccc2cc(NCC/N=N/Nc3ccc4ncnc(C(=O)O)c4c3)ccc21,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL332096;CHEMBL336113;CHEMBL343352;CHEMBL432903;CHEMBL443268;CHEMBL52765;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964,BRICS,True,0.163,-4.679,1,True,447.46,3.649,4,7,10
GEN_C4744742,CCN1CCN(c2cc(C(=O)O)cc(O)c2O)CC1,CHEMBL304271;CHEMBL305194;CHEMBL432903;CHEMBL66570;CHEMBL80155,BRICS,True,0.706,-2.118,1,True,266.3,0.938,3,5,3
GEN_0E106EB5,CN1C(=O)C(=C(C#N)C(N)=O)c2c(N3CCN(c4cc(C(=O)O)cc(O)c4O)CC3)ncnc21,CHEMBL296407;CHEMBL305194;CHEMBL443268;CHEMBL66570;CHEMBL80155,BRICS,True,0.261,-2.503,1,True,465.43,-0.349,4,10,4
GEN_CAA86446,CN(C)/N=N/c1ccc2ncnc(C/N=N/Nc3ccc4ncnc(Cc5cc(C(=O)O)cc(O)c5O)c4c3)c2c1,CHEMBL136491;CHEMBL137635;CHEMBL138125;CHEMBL305194;CHEMBL344652;CHEMBL67003;CHEMBL67057;CHEMBL80155,BRICS,True,0.112,-6.173,2,True,552.56,4.813,4,11,9
GEN_BD1CC825,CN1C(=O)C(=C(O)c2cc(C(=O)O)cc(O)c2O)c2c(-c3cccc(Br)c3)ncnc21,CHEMBL137364;CHEMBL138125;CHEMBL305194;CHEMBL309598;CHEMBL443268;CHEMBL52765;CHEMBL80155,BRICS,True,0.252,-5.228,1,True,484.26,3.418,4,7,3
GEN_281BD28B,O=C(O)c1cc(O)c(O)c(N2CCN(C(=O)c3ccccn3)CC2)c1,CHEMBL137635;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL80155,BRICS,True,0.716,-2.853,1,True,343.34,1.153,3,6,3
GEN_19A2A446,Cc1cc(C)c(-c2ccc3c(cnn3Cc3cc(C(=O)O)cc(O)c3O)c2)[nH]1,CHEMBL305194;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL80155,BRICS,True,0.404,-4.842,2,True,377.4,3.806,4,4,4
GEN_0C904B6D,CN(CC/N=N/Nc1ccc2ncnc(C(=O)O)c2c1)C(=O)c1cccc(Cl)c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL136492;CHEMBL137364;CHEMBL137635;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL343352;CHEMBL344652;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL69629;CHEMBL69960;CHEMBL69964,BRICS,True,0.452,-4.571,1,True,412.84,3.533,2,6,7
GEN_3B908796,O=C(O)CCc1cc(N2CCN(CC/N=N/Nc3ccc4ncnc(C(=O)O)c4c3)CC2)cc(O)c1O,CHEMBL137364;CHEMBL305194;CHEMBL308645;CHEMBL66570;CHEMBL80155,BRICS,True,0.153,-4.144,2,True,509.52,2.358,5,10,10
GEN_DE039512,O=C(O)c1cc(O)c(O)c(C=Cc2ccccn2)c1,CHEMBL137635;CHEMBL138125;CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.734,-3.192,1,True,257.25,2.361,3,4,3
GEN_927251CC,Cc1cc(C)c(C(O)=Cc2cc(C(=O)O)cc(O)c2O)[nH]1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.44,-3.585,1,True,289.29,2.797,5,4,3
GEN_B9BEC1CB,O=C1Nc2ncnc(-c3ccccn3)c2C1=C(O)c1cc(C(=O)O)cc(O)c1O,CHEMBL137635;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL432903;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL80155,BRICS,True,0.254,-3.81,1,True,392.33,2.026,5,8,3
GEN_D40BB84D,Cc1cc(C)c(-c2[nH]c(C)c(Cc3cc(C(=O)O)cc(O)c3O)c2C)[nH]1,CHEMBL305194;CHEMBL432903;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL80155,BRICS,True,0.457,-4.713,1,True,354.41,3.944,5,3,4
GEN_00F33078,Cc1cc(C)c(NCC/N=N/Nc2ccc3ncnc(-c4cc(C(=O)O)cc(O)c4O)c3c2)[nH]1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL332096;CHEMBL336113;CHEMBL343352;CHEMBL432903;CHEMBL443268;CHEMBL52765;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL80155,BRICS,True,0.098,-5.303,2,True,461.48,4.242,6,8,8
GEN_7E693EE1,Cc1cc(C)c(-n2ccc3cc(Cc4cc(C(=O)O)cc(O)c4O)ccc32)[nH]1,CHEMBL305194;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL80155,BRICS,True,0.4,-5.132,1,True,376.41,4.276,4,3,4
GEN_C5EE69A5,O=C(O)c1cc(O)c(O)c(Cc2ccc3c(ccn3-c3ccccn3)c2)c1,CHEMBL137635;CHEMBL138125;CHEMBL305194;CHEMBL67003;CHEMBL67057;CHEMBL80155,BRICS,True,0.482,-4.733,1,True,360.37,3.726,3,4,4
GEN_B5C4F42A,O=C(O)c1cc(O)c(O)c(C(O)=Cc2ccc3c(c2)CCC3)c1,CHEMBL296407;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL309598;CHEMBL309625;CHEMBL310798;CHEMBL311119;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL76589;CHEMBL76642;CHEMBL76904;CHEMBL76905;CHEMBL76985;CHEMBL77085;CHEMBL80155,BRICS,True,0.396,-4.069,1,True,312.32,3.341,4,4,3
GEN_CC02770B,Cc1cc(C)c(Cc2cc(C(=O)O)cc(O)c2O)[nH]1,CHEMBL305194;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL80155,BRICS,True,0.638,-3.159,1,True,261.28,2.332,4,3,3
GEN_C6FC49AA,Cc1cccc(NCC/N=N/Nc2ccc3ncnc(C(=O)O)c3c2)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL138125;CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL332096;CHEMBL336113;CHEMBL343352;CHEMBL432903;CHEMBL443268;CHEMBL52765;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964,BRICS,True,0.341,-4.228,1,True,350.38,3.528,3,6,7
GEN_42E01451,O=C(O)c1cc(O)c(O)c(N2CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)c1,CHEMBL302552;CHEMBL304271;CHEMBL305194;CHEMBL308645;CHEMBL432903;CHEMBL443268;CHEMBL65848;CHEMBL66570;CHEMBL67003;CHEMBL67057;CHEMBL68920;CHEMBL69629;CHEMBL69960;CHEMBL69964;CHEMBL80155,BRICS,True,0.692,-4.026,1,True,394.79,2.551,3,5,3
GEN_4664A9B1,O=C(O)c1cc(O)c(O)c(Cc2cc(N3CCOCC3)cc(O)c2O)c1,CHEMBL137364;CHEMBL302552;CHEMBL305194;CHEMBL443268;CHEMBL65848;CHEMBL67003;CHEMBL67057;CHEMBL69629;CHEMBL69960;CHEMBL80155,BRICS,True,0.52,-3.188,1,True,361.35,1.635,5,7,4
