candidate_id,smiles,parent_ids,generation_method,validity_status,qed,esol,pains_alert_count,pains_flag,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds
GEN_FE726763,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cc(O)c(O)c(O)c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL310798,BRICS,VALID,0.152,-6.145,2,True,478.94,5.373,4,8,8
GEN_6638452D,Nc1ccc2ncnc(N(CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c3ccc(O)c(O)c3)c2c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL296407;CHEMBL304271;CHEMBL336113;CHEMBL76904,BRICS,VALID,0.068,-7.557,2,True,578.04,6.504,4,10,8
GEN_4C014EB2,CCN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1cc(O)ccc1[N+](=O)[O-],CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271;CHEMBL77085,BRICS,VALID,0.17,-6.459,1,True,491.94,5.87,2,8,9
GEN_8E73C468,CCN(CC)CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1,CHEMBL133024;CHEMBL136491;CHEMBL137364;CHEMBL304271,BRICS,VALID,0.436,-5.319,1,True,382.9,5.071,1,5,8
GEN_7901C2AD,CN(C)/N=N/c1ccc2ncnc(N(C)CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652,BRICS,VALID,0.171,-7.1,1,True,540.04,6.369,1,9,9
GEN_3E2FDBAE,Cc1cc(C)c(N(C)CC/N=N/Nc2ccc3ncnc(-c4cccc(Cl)c4)c3c2)[nH]1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652;CHEMBL68920,BRICS,VALID,0.284,-6.23,1,True,433.95,5.811,2,5,7
GEN_40C65797,C/N=N/Nc1ccc2ncnc(N(C)CC/N=N/Nc3ccc4ncnc(-c5cccc(Cl)c5)c4c3)c2c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652,BRICS,VALID,0.173,-6.931,1,True,526.01,6.218,2,9,9
GEN_BE3DE4B5,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccccn1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL138125;CHEMBL344652,BRICS,VALID,0.327,-5.826,1,True,417.9,5.261,1,6,7
GEN_32B6EEA4,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)cc1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL344652;CHEMBL76589,BRICS,VALID,0.294,-6.097,1,True,432.92,5.571,2,6,7
GEN_3C0D9615,CN(CC/N=N/Nc1ccc2ncnc(-c3cccc(Cl)c3)c2c1)c1ccc(O)c(O)c1,CHEMBL133024;CHEMBL135592;CHEMBL136491;CHEMBL137364;CHEMBL137635;CHEMBL296407;CHEMBL344652;CHEMBL76904,BRICS,VALID,0.202,-5.994,2,True,448.91,5.277,3,7,7
